country,country_code,year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,region
Brazil,BRA,2009,90.0,97.4,98.7,South America
Brazil,BRA,2010,90.0,97.0,98.0,South America
Brazil,BRA,2011,91.0,97.9,99.1,South America
Brazil,BRA,2012,91.0,98.2,99.0,South America
Brazil,BRA,2013,91.0,98.3,99.2,South America
Brazil,BRA,2014,92.0,98.4,99.3,South America
Brazil,BRA,2015,92.0,98.6,99.3,South America
Brazil,BRA,2016,93.0,98.7,99.5,South America
Brazil,BRA,2017,93.0,98.8,99.5,South America
Brazil,BRA,2018,93.0,98.7,99.4,South America
Brazil,BRA,2019,,98.7,99.5,South America
Brazil,BRA,2020,,99.0,99.5,South America
Brazil,BRA,2021,,99.1,99.5,South America
Brazil,BRA,2022,,99.0,99.6,South America
Brazil,BRA,2023,,99.0,99.6,South America
Brunei,BRN,1991,88.0,98.0,98.0,Asia
Brunei,BRN,2001,93.0,99.0,99.0,Asia
Brunei,BRN,2011,96.0,99.0,100.0,Asia
Bulgaria,BGR,2001,98.0,98.0,98.0,Europe
Bulgaria,BGR,2011,98.0,98.0,98.0,Europe
Burkina Faso,BFA,1991,14.0,27.0,14.0,Africa
Burkina Faso,BFA,1996,13.0,25.0,14.0,Africa
Burkina Faso,BFA,2003,22.0,38.0,25.0,Africa
Burkina Faso,BFA,2005,24.0,40.0,26.0,Africa
Burkina Faso,BFA,2006,22.0,40.0,27.0,Africa
Burkina Faso,BFA,2007,28.0,47.0,33.0,Africa
Burkina Faso,BFA,2010,,47.04,27.24,Africa
Burkina Faso,BFA,2014,35.0,57.0,44.0,Africa
Burkina Faso,BFA,2018,39.0,64.0,54.0,Africa
Burkina Faso,BFA,2019,30.0,51.0,44.0,Africa
Burkina Faso,BFA,2021,36.96738,66.64593,58.758,Africa
Burkina Faso,BFA,2022,40.92361,65.47311,60.56925,Africa
Burundi,BDI,1990,37.0,59.0,48.0,Africa
Burundi,BDI,2000,59.0,77.0,70.0,Africa
Burundi,BDI,2008,48.0,67.0,57.0,Africa
Burundi,BDI,2010,,82.66,66.51,Africa
Burundi,BDI,2014,62.0,85.0,75.0,Africa
Burundi,BDI,2016,65.68774,86.7551,82.08605,Africa
Burundi,BDI,2017,68.0,91.0,86.0,Africa
Cambodia,KHM,1998,67.0,82.0,71.0,Asia
Cambodia,KHM,2004,74.0,88.0,79.0,Asia
Cambodia,KHM,2005,,100.0,67.33,Asia
Cambodia,KHM,2008,77.0,89.0,86.0,Asia
Cambodia,KHM,2009,76.0,88.0,86.0,Asia
Cambodia,KHM,2010,,80.6,78.02,Asia
Cambodia,KHM,2014,78.0,90.0,90.0,Asia
Cambodia,KHM,2015,81.0,92.0,93.0,Asia
Cambodia,KHM,2021,71.92725,90.30829,93.50569,Asia
Cameroon,CMR,2000,68.0,88.0,78.0,Africa
Cameroon,CMR,2004,,81.39,67.65,Africa
Cameroon,CMR,2007,71.0,89.0,77.0,Africa
Cameroon,CMR,2010,71.0,85.0,76.0,Africa
Cameroon,CMR,2011,,86.92,73.41,Africa
Cameroon,CMR,2018,72.54713,87.59698,76.3945,Africa
Cape Verde,CPV,1990,63.0,90.0,86.0,Africa
Cape Verde,CPV,2012,85.0,98.0,98.0,Africa
Cape Verde,CPV,2015,87.0,98.0,99.0,Africa
Cayman Islands,CYM,2007,99.0,99.0,99.0,North America
Central African Republic,CAF,2000,51.0,73.0,49.0,Africa
Central African Republic,CAF,2019,42.44279,64.90382,36.67682,Africa
Central and Southern Asia (SDG),,1990,48.32116,70.41392,49.24991,
Central and Southern Asia (SDG),,1991,49.05992,71.12513,50.83163,
Central and Southern Asia (SDG),,1992,50.02463,72.52291,52.2682,
Central and Southern Asia (SDG),,1993,50.96456,73.86445,53.6906,
Central and Southern Asia (SDG),,1994,51.65748,74.50486,55.22097,
Central and Southern Asia (SDG),,1995,52.48868,75.20815,56.90365,
Central and Southern Asia (SDG),,1996,53.27746,75.8941,58.44146,
Central and Southern Asia (SDG),,1997,54.06332,76.53233,59.79875,
Central and Southern Asia (SDG),,1998,58.53805,80.47533,62.4221,
Central and Southern Asia (SDG),,1999,59.31843,81.09931,64.21235,
Central and Southern Asia (SDG),,2000,60.08303,81.62344,65.90239,
Central and Southern Asia (SDG),,2001,60.84338,82.06134,67.50308,
Central and Southern Asia (SDG),,2002,61.62705,82.56851,69.10661,
Central and Southern Asia (SDG),,2003,62.51307,83.6186,70.32368,
Central and Southern Asia (SDG),,2004,63.28101,84.02438,71.84613,
Central and Southern Asia (SDG),,2005,63.14516,85.62037,72.0607,
Central and Southern Asia (SDG),,2006,63.28799,84.61482,73.06606,
Central and Southern Asia (SDG),,2007,64.09655,84.8928,74.62511,
Central and Southern Asia (SDG),,2008,65.15713,85.80285,76.26355,
Central and Southern Asia (SDG),,2009,65.98215,86.28822,77.79943,
Central and Southern Asia (SDG),,2010,68.35281,87.72251,79.15094,
Central and Southern Asia (SDG),,2011,68.73041,87.85644,80.23454,
Central and Southern Asia (SDG),,2012,68.78113,88.13688,81.02616,
Central and Southern Asia (SDG),,2013,69.72007,89.19475,82.70196,
Central and Southern Asia (SDG),,2014,70.40182,89.51995,83.84325,
Central and Southern Asia (SDG),,2015,71.63145,90.11613,85.22724,
Central and Southern Asia (SDG),,2016,72.85133,90.8607,86.58227,
Central and Southern Asia (SDG),,2017,73.37587,91.27249,87.15818,
Central and Southern Asia (SDG),,2018,73.86521,91.21208,86.94566,
Central and Southern Asia (SDG),,2019,73.66493,93.88992,89.33263,
Central and Southern Asia (SDG),,2020,74.33241,94.12073,89.98798,
Central and Southern Asia (SDG),,2021,75.07198,94.41743,90.64738,
Central and Southern Asia (SDG),,2022,75.81275,94.68063,91.34677,
Central and Southern Asia (SDG),,2023,76.51431,94.92773,91.97111,
Chad,TCD,1993,11.0,26.0,9.0,Africa
Chad,TCD,2000,26.0,56.0,23.0,Africa
Chad,TCD,2004,28.0,54.0,31.0,Africa
Chad,TCD,2016,22.0,41.0,22.0,Africa
Chad,TCD,2019,30.62792,56.26247,33.32039,Africa
Chile,CHL,1992,94.0,98.0,99.0,South America
Chile,CHL,2000,,98.9,99.3,South America
Chile,CHL,2002,96.0,99.0,99.0,South America
Chile,CHL,2003,,98.9,99.4,South America
Chile,CHL,2006,,98.9,99.3,South America
Chile,CHL,2009,,99.2,99.5,South America
Chile,CHL,2011,97.0,99.2,99.6,South America
Chile,CHL,2013,96.0,99.0,99.1,South America
Chile,CHL,2015,97.0,99.3,99.4,South America
Chile,CHL,2017,96.0,99.0,99.0,South America
Chile,CHL,2022,,99.1,99.5,South America
China,CHN,1990,78.0,97.0,91.0,Asia
China,CHN,2000,91.0,99.0,99.0,Asia
China,CHN,2010,95.0,100.0,100.0,Asia
China,CHN,2020,97.0,100.0,100.0,Asia
Colombia,COL,1993,91.0,95.0,96.0,South America
Colombia,COL,1996,91.0,96.0,98.0,South America
Colombia,COL,2002,,96.9,98.0,South America
Colombia,COL,2003,,96.7,98.3,South America
Colombia,COL,2004,93.0,97.5,98.4,South America
Colombia,COL,2005,93.0,97.6,98.4,South America
Colombia,COL,2006,92.0,98.0,98.0,South America
Colombia,COL,2007,93.0,97.0,98.0,South America
Colombia,COL,2008,93.0,97.5,98.4,South America
Colombia,COL,2009,93.0,97.4,98.4,South America
Colombia,COL,2010,93.0,97.8,98.6,South America
Colombia,COL,2011,94.0,97.8,98.8,South America
Colombia,COL,2012,,97.8,98.7,South America
Colombia,COL,2013,,97.8,98.8,South America
Colombia,COL,2014,94.0,98.1,98.9,South America
Colombia,COL,2015,94.0,98.2,98.9,South America
Colombia,COL,2016,95.0,98.3,99.0,South America
Colombia,COL,2017,,98.3,99.0,South America
Colombia,COL,2018,95.0,98.7,99.1,South America
Colombia,COL,2019,95.0,98.5,99.2,South America
Colombia,COL,2020,96.0,98.7,99.3,South America
Colombia,COL,2021,,98.8,99.4,South America
Colombia,COL,2022,,98.6,99.2,South America
Colombia,COL,2023,,98.7,99.2,South America
Comoros,COM,2000,68.0,84.0,78.0,Africa
Comoros,COM,2012,,85.0,78.59,Africa
Congo,COG,2005,76.0,88.0,71.0,Africa
Costa Rica,CRI,2000,95.0,97.0,98.0,North America
Costa Rica,CRI,2011,97.0,99.0,99.0,North America
Costa Rica,CRI,2018,,74.78,99.63372,North America
Cote d'Ivoire,CIV,1998,36.0,54.0,40.0,Africa
Cote d'Ivoire,CIV,2000,49.0,71.0,52.0,Africa
Cote d'Ivoire,CIV,2014,44.0,59.0,47.0,Africa
Cote d'Ivoire,CIV,2016,50.03968,71.98823,54.73764,Africa
Cote d'Ivoire,CIV,2019,90.0,93.0,76.0,Africa
Cote d'Ivoire,CIV,2021,50.00064,76.16145,58.31827,Africa
Croatia,HRV,1991,97.0,100.0,100.0,Europe
Croatia,HRV,2001,98.0,100.0,100.0,Europe
Cuba,CUB,2002,100.0,100.0,100.0,North America
Cuba,CUB,2012,100.0,100.0,100.0,North America
Cuba,CUB,2019,97.65491,99.53119,99.70794,North America
Cyprus,CYP,1992,94.0,100.0,100.0,Europe
Cyprus,CYP,2001,97.0,100.0,100.0,Europe
Cyprus,CYP,2011,99.0,100.0,100.0,Europe
Democratic Republic of Congo,COD,2001,67.0,78.0,63.0,Africa
Democratic Republic of Congo,COD,2007,,87.36,62.97,Africa
Democratic Republic of Congo,COD,2012,75.0,91.0,77.0,Africa
Democratic Republic of Congo,COD,2013,,92.56,76.58,Africa
Democratic Republic of Congo,COD,2016,77.0,91.0,80.0,Africa
Democratic Republic of Congo,COD,2018,73.55303,90.81754,77.53746,Africa
Dominican Republic,DOM,2000,,93.2,96.5,North America
Dominican Republic,DOM,2001,,94.3,96.6,North America
Dominican Republic,DOM,2002,87.0,93.8,96.5,North America
Dominican Republic,DOM,2003,,94.7,96.9,North America
Dominican Republic,DOM,2004,,95.2,96.7,North America
Dominican Republic,DOM,2005,,96.2,97.3,North America
Dominican Republic,DOM,2006,,95.3,97.9,North America
Dominican Republic,DOM,2007,88.0,97.2,97.8,North America
Dominican Republic,DOM,2008,,95.6,97.4,North America
Dominican Republic,DOM,2009,,96.2,98.4,North America
Dominican Republic,DOM,2010,90.0,96.2,97.9,North America
Dominican Republic,DOM,2011,90.0,96.5,98.6,North America
Dominican Republic,DOM,2012,90.0,96.7,98.0,North America
Dominican Republic,DOM,2013,91.0,97.6,98.3,North America
Dominican Republic,DOM,2014,92.0,98.0,98.2,North America
Dominican Republic,DOM,2015,92.0,98.1,98.1,North America
Dominican Republic,DOM,2016,94.0,98.1,98.8,North America
Dominican Republic,DOM,2017,,97.8,98.4,North America
Dominican Republic,DOM,2018,,98.0,99.1,North America
Dominican Republic,DOM,2019,,98.3,99.1,North America
Dominican Republic,DOM,2020,,98.6,99.1,North America
Dominican Republic,DOM,2021,,98.7,99.0,North America
Dominican Republic,DOM,2022,,98.1,98.9,North America
Dominican Republic,DOM,2023,,98.3,98.8,North America
East Asia and Pacific (WB),,1990,81.17076,96.40288,92.07513,
East Asia and Pacific (WB),,1991,81.71117,96.42215,92.39921,
East Asia and Pacific (WB),,1992,82.22357,96.44241,92.70293,
East Asia and Pacific (WB),,1993,82.68984,96.4574,92.95647,
East Asia and Pacific (WB),,1994,83.24469,96.56721,93.35312,
East Asia and Pacific (WB),,1995,83.8043,96.69341,93.7574,
East Asia and Pacific (WB),,1996,84.29005,96.79782,94.08663,
East Asia and Pacific (WB),,1997,89.27749,98.02458,96.96976,
East Asia and Pacific (WB),,1998,89.64291,98.0536,97.10172,
East Asia and Pacific (WB),,1999,89.96028,98.07207,97.24602,
East Asia and Pacific (WB),,2000,90.32185,98.10066,97.24828,
East Asia and Pacific (WB),,2001,90.63564,98.10212,97.37758,
East Asia and Pacific (WB),,2002,90.98982,98.14776,97.50698,
East Asia and Pacific (WB),,2003,91.36144,98.21947,97.72554,
East Asia and Pacific (WB),,2004,91.69448,98.30039,97.84924,
East Asia and Pacific (WB),,2005,92.02961,98.35316,97.97492,
East Asia and Pacific (WB),,2006,92.37919,98.18339,97.8041,
East Asia and Pacific (WB),,2007,93.5125,98.50984,98.20255,
East Asia and Pacific (WB),,2008,93.81618,98.81036,98.61238,
East Asia and Pacific (WB),,2009,94.08518,98.74872,98.60713,
East Asia and Pacific (WB),,2010,94.20017,98.69274,98.5755,
East Asia and Pacific (WB),,2011,93.8646,98.28942,98.15948,
East Asia and Pacific (WB),,2012,94.09502,98.32583,98.21486,
East Asia and Pacific (WB),,2013,94.20693,98.33456,98.28557,
East Asia and Pacific (WB),,2014,94.71124,98.53776,98.5517,
East Asia and Pacific (WB),,2015,94.92792,98.60747,98.5754,
East Asia and Pacific (WB),,2016,95.13196,98.6197,98.60907,
East Asia and Pacific (WB),,2017,95.32305,98.61173,98.6212,
East Asia and Pacific (WB),,2018,95.36943,98.50946,98.59121,
East Asia and Pacific (WB),,2019,95.80688,98.83422,98.96828,
East Asia and Pacific (WB),,2020,96.0287,98.93899,99.04304,
East Asia and Pacific (WB),,2021,96.16493,98.96167,99.0817,
East Asia and Pacific (WB),,2022,96.30093,98.98314,99.13032,
East Asia and Pacific (WB),,2023,96.43049,99.0027,99.16245,
East Timor,TLS,2001,38.0,,,
East Timor,TLS,2007,51.0,,,
East Timor,TLS,2009,,87.25,83.71,Asia
East Timor,TLS,2010,58.0,80.0,79.0,Asia
East Timor,TLS,2016,65.77913,89.55101,88.72531,Asia
Eastern and South-Eastern Asia (SDG),,1990,81.18364,96.50264,92.16502,
Eastern and South-Eastern Asia (SDG),,1991,81.73081,96.52341,92.49314,
Eastern and South-Eastern Asia (SDG),,1992,82.24957,96.54519,92.80164,
Eastern and South-Eastern Asia (SDG),,1993,82.72173,96.56196,93.06,
Eastern and South-Eastern Asia (SDG),,1994,83.28386,96.6759,93.46461,
Eastern and South-Eastern Asia (SDG),,1995,83.85079,96.80654,93.87752,
Eastern and South-Eastern Asia (SDG),,1996,84.34014,96.91575,94.21008,
Eastern and South-Eastern Asia (SDG),,1997,89.39987,98.16245,97.13049,
Eastern and South-Eastern Asia (SDG),,1998,89.76716,98.19519,97.26268,
Eastern and South-Eastern Asia (SDG),,1999,90.08641,98.22033,97.41061,
Eastern and South-Eastern Asia (SDG),,2000,90.45192,98.25711,97.41581,
Eastern and South-Eastern Asia (SDG),,2001,90.76801,98.26271,97.5457,
Eastern and South-Eastern Asia (SDG),,2002,91.12475,98.31304,97.67487,
Eastern and South-Eastern Asia (SDG),,2003,91.49954,98.38914,97.89353,
Eastern and South-Eastern Asia (SDG),,2004,91.83497,98.47451,98.01609,
Eastern and South-Eastern Asia (SDG),,2005,92.17309,98.53169,98.14126,
Eastern and South-Eastern Asia (SDG),,2006,92.52596,98.36356,97.96613,
Eastern and South-Eastern Asia (SDG),,2007,93.67552,98.70143,98.37064,
Eastern and South-Eastern Asia (SDG),,2008,93.98298,99.01506,98.78818,
Eastern and South-Eastern Asia (SDG),,2009,94.25554,98.95905,98.78162,
Eastern and South-Eastern Asia (SDG),,2010,94.37094,98.90729,98.74636,
Eastern and South-Eastern Asia (SDG),,2011,94.03088,98.50358,98.32828,
Eastern and South-Eastern Asia (SDG),,2012,94.26621,98.54806,98.39026,
Eastern and South-Eastern Asia (SDG),,2013,94.38122,98.566,98.46905,
Eastern and South-Eastern Asia (SDG),,2014,94.89836,98.78386,98.74792,
Eastern and South-Eastern Asia (SDG),,2015,95.12345,98.86771,98.78167,
Eastern and South-Eastern Asia (SDG),,2016,95.33295,98.89226,98.82578,
Eastern and South-Eastern Asia (SDG),,2017,95.52963,98.89327,98.84568,
Eastern and South-Eastern Asia (SDG),,2018,95.57909,98.79708,98.82176,
Eastern and South-Eastern Asia (SDG),,2019,96.02655,99.1361,99.213,
Eastern and South-Eastern Asia (SDG),,2020,96.25462,99.24863,99.2941,
Eastern and South-Eastern Asia (SDG),,2021,96.39394,99.2751,99.33651,
Eastern and South-Eastern Asia (SDG),,2022,96.53545,99.30309,99.39149,
Eastern and South-Eastern Asia (SDG),,2023,96.6705,99.32656,99.42854,
Ecuador,ECU,1990,88.0,97.0,96.0,South America
Ecuador,ECU,2001,91.0,97.6,97.3,South America
Ecuador,ECU,2003,,96.5,97.4,South America
Ecuador,ECU,2005,,98.3,98.2,South America
Ecuador,ECU,2006,,98.3,98.1,South America
Ecuador,ECU,2007,92.0,98.2,98.6,South America
Ecuador,ECU,2008,92.0,98.4,98.5,South America
Ecuador,ECU,2009,92.0,98.7,98.9,South America
Ecuador,ECU,2010,92.0,98.5,98.9,South America
Ecuador,ECU,2011,92.0,98.6,98.8,South America
Ecuador,ECU,2012,92.0,98.8,98.9,South America
Ecuador,ECU,2013,93.0,98.6,98.6,South America
Ecuador,ECU,2014,94.0,99.0,99.2,South America
Ecuador,ECU,2015,94.0,99.3,98.9,South America
Ecuador,ECU,2016,94.0,99.0,99.1,South America
Ecuador,ECU,2017,93.0,99.1,99.4,South America
Ecuador,ECU,2018,,98.9,99.1,South America
Ecuador,ECU,2019,,98.2,98.8,South America
Ecuador,ECU,2020,94.0,98.5,99.1,South America
Ecuador,ECU,2021,94.0,99.0,99.2,South America
Ecuador,ECU,2022,94.0,99.0,99.2,South America
Ecuador,ECU,2023,,99.0,99.3,South America
Egypt,EGY,1996,56.0,79.0,67.0,Africa
Egypt,EGY,2005,67.0,90.0,79.0,Africa
Egypt,EGY,2006,66.0,88.0,82.0,Africa
Egypt,EGY,2010,72.0,91.0,84.0,Africa
Egypt,EGY,2012,74.0,92.0,86.0,Africa
Egypt,EGY,2013,72.0,94.0,90.0,Africa
Egypt,EGY,2017,71.0,89.0,87.0,Africa
Egypt,EGY,2022,,95.51,94.82,Africa
El Salvador,SLV,1992,74.0,85.0,85.0,North America
El Salvador,SLV,2000,,92.2,92.6,North America
El Salvador,SLV,2001,,93.5,93.6,North America
El Salvador,SLV,2002,,92.9,93.6,North America
El Salvador,SLV,2003,,93.3,93.4,North America
El Salvador,SLV,2004,,93.7,94.0,North America
El Salvador,SLV,2005,,94.9,94.9,North America
El Salvador,SLV,2006,84.0,94.4,95.5,North America
El Salvador,SLV,2007,82.0,95.2,95.8,North America
El Salvador,SLV,2008,84.0,95.0,96.0,North America
El Salvador,SLV,2009,84.0,95.1,96.1,North America
El Salvador,SLV,2010,84.0,95.7,96.4,North America
El Salvador,SLV,2011,85.0,96.0,97.0,North America
El Salvador,SLV,2012,,96.7,97.6,North America
El Salvador,SLV,2013,87.0,96.9,97.5,North America
El Salvador,SLV,2014,,97.3,98.2,North America
El Salvador,SLV,2015,88.0,97.5,98.4,North America
El Salvador,SLV,2016,88.0,97.7,98.3,North America
El Salvador,SLV,2017,88.0,97.8,98.1,North America
El Salvador,SLV,2018,89.0,97.7,98.2,North America
El Salvador,SLV,2019,89.0,98.0,98.7,North America
El Salvador,SLV,2020,90.0,98.3,98.7,North America
El Salvador,SLV,2021,,97.8,98.3,North America
El Salvador,SLV,2022,,98.0,98.6,North America
El Salvador,SLV,2023,90.0,97.6,98.5,North America
Equatorial Guinea,GNQ,2000,88.0,98.0,97.0,Africa
Eritrea,ERI,2002,53.0,86.0,69.0,Africa
Eritrea,ERI,2008,65.0,91.0,83.0,Africa
Estonia,EST,2000,100.0,100.0,100.0,Europe
Estonia,EST,2011,100.0,100.0,100.0,Europe
Eswatini,SWZ,2000,82.0,91.0,93.0,Africa
Eswatini,SWZ,2006,,88.81,93.58,Africa
Eswatini,SWZ,2022,90.74702,98.55315,98.77755,Africa
Ethiopia,ETH,1994,27.0,39.0,28.0,Africa
Ethiopia,ETH,2000,,49.47,27.02,Africa
Ethiopia,ETH,2004,36.0,62.0,39.0,Africa
Ethiopia,ETH,2005,,60.07,34.06,Africa
Ethiopia,ETH,2007,39.0,63.0,47.0,Africa
Ethiopia,ETH,2011,,65.08,43.65,Africa
Ethiopia,ETH,2016,47.49159,79.13417,64.5676,Africa
Europe and Central Asia (WB),,1990,,99.29788,98.59226,
Europe and Central Asia (WB),,1991,,99.30632,98.63546,
Europe and Central Asia (WB),,1992,,99.14109,98.60188,
Europe and Central Asia (WB),,1993,,99.14551,98.64055,
Europe and Central Asia (WB),,1994,95.93806,99.15435,98.69671,
Europe and Central Asia (WB),,1995,96.06758,99.15745,98.73289,
Europe and Central Asia (WB),,1996,96.22135,99.16376,98.77194,
Europe and Central Asia (WB),,1997,96.3414,99.16921,98.8102,
Europe and Central Asia (WB),,1998,96.48624,99.14203,98.83175,
Europe and Central Asia (WB),,1999,96.59245,99.12084,98.84616,
Europe and Central Asia (WB),,2000,96.65252,99.27405,98.82764,
Europe and Central Asia (WB),,2001,96.7528,99.28998,98.86257,
Europe and Central Asia (WB),,2002,96.91116,99.34685,98.91292,
Europe and Central Asia (WB),,2003,97.00517,99.34642,98.93462,
Europe and Central Asia (WB),,2004,97.09123,99.32986,98.9432,
Europe and Central Asia (WB),,2005,97.21017,99.37011,99.01076,
Europe and Central Asia (WB),,2006,97.27016,99.38467,99.02952,
Europe and Central Asia (WB),,2007,97.35178,99.40214,99.0562,
Europe and Central Asia (WB),,2008,97.47324,99.41971,99.08809,
Europe and Central Asia (WB),,2009,97.73077,99.5298,99.31396,
